district,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_0_4_pc,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_5_9_pc,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_10_12_pc,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_13_14_pc,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_15_17_pc,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_18_20_pc,CF_C_BPBO_DC_21_24,CF_C_BPBO_DC_21_24_pc,CF_C_BPBO_Tot,CF_C_BPBO_Tot_pc,CF_C_FBO_DC_0_4,CF_C_FBO_DC_0_4_pc,CF_C_FBO_DC_5_9,CF_C_FBO_DC_5_9_pc,CF_C_FBO_DC_10_12,CF_C_FBO_DC_10_12_pc,CF_C_FBO_DC_13_14,CF_C_FBO_DC_13_14_pc,CF_C_FBO_DC_15_17,CF_C_FBO_DC_15_17_pc,CF_C_FBO_DC_18_20,CF_C_FBO_DC_18_20_pc,CF_C_FBO_DC_21_24,CF_C_FBO_DC_21_24_pc,CF_C_FBO_Tot,CF_C_FBO_Tot_pc,CF_C_MBO_DC_0_4,CF_C_MBO_DC_0_4_pc,CF_C_MBO_DC_5_9,CF_C_MBO_DC_5_9_pc,CF_C_MBO_DC_10_12,CF_C_MBO_DC_10_12_pc,CF_C_MBO_DC_13_14,CF_C_MBO_DC_13_14_pc,CF_C_MBO_DC_15_17,CF_C_MBO_DC_15_17_pc,CF_C_MBO_DC_18_20,CF_C_MBO_DC_18_20_pc,CF_C_MBO_DC_21_24,CF_C_MBO_DC_21_24_pc,CF_C_MBO_Tot,CF_C_MBO_Tot_pc,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_0_4_pc,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_5_9_pc,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_10_12_pc,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_13_14_pc,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_15_17_pc,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_18_20_pc,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_DC_21_24_pc,CF_C_BPBAu_Tot,CF_C_BPBAu_Tot_pc,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_0_4_pc,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_5_9_pc,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_10_12_pc,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_13_14_pc,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_15_17_pc,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_18_20_pc,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_DC_21_24_pc,CF_C_BP_NS_Tot,CF_C_BP_NS_Tot_pc,CF_C_Tot_DC_0_4,CF_C_Tot_DC_0_4_pc,CF_C_Tot_DC_5_9,CF_C_Tot_DC_5_9_pc,CF_C_Tot_DC_10_12,CF_C_Tot_DC_10_12_pc,CF_C_Tot_DC_13_14,CF_C_Tot_DC_13_14_pc,CF_C_Tot_DC_15_17,CF_C_Tot_DC_15_17_pc,CF_C_Tot_DC_18_20,CF_C_Tot_DC_18_20_pc,CF_C_Tot_DC_21_24,CF_C_Tot_DC_21_24_pc,CF_C_Tot_Tot,CF_C_Tot_Tot_pc,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_0_4_pc,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_5_9_pc,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_10_12_pc,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_13_14_pc,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_15_17_pc,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_18_20_pc,One_PF_BPBO_DC_21_24,One_PF_BPBO_DC_21_24_pc,One_PF_BPBO_Tot,One_PF_BPBO_Tot_pc,One_PF_FBO_DC_0_4,One_PF_FBO_DC_0_4_pc,One_PF_FBO_DC_5_9,One_PF_FBO_DC_5_9_pc,One_PF_FBO_DC_10_12,One_PF_FBO_DC_10_12_pc,One_PF_FBO_DC_13_14,One_PF_FBO_DC_13_14_pc,One_PF_FBO_DC_15_17,One_PF_FBO_DC_15_17_pc,One_PF_FBO_DC_18_20,One_PF_FBO_DC_18_20_pc,One_PF_FBO_DC_21_24,One_PF_FBO_DC_21_24_pc,One_PF_FBO_Tot,One_PF_FBO_Tot_pc,One_PF_MBO_DC_0_4,One_PF_MBO_DC_0_4_pc,One_PF_MBO_DC_5_9,One_PF_MBO_DC_5_9_pc,One_PF_MBO_DC_10_12,One_PF_MBO_DC_10_12_pc,One_PF_MBO_DC_13_14,One_PF_MBO_DC_13_14_pc,One_PF_MBO_DC_15_17,One_PF_MBO_DC_15_17_pc,One_PF_MBO_DC_18_20,One_PF_MBO_DC_18_20_pc,One_PF_MBO_DC_21_24,One_PF_MBO_DC_21_24_pc,One_PF_MBO_Tot,One_PF_MBO_Tot_pc,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_0_4_pc,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_5_9_pc,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_10_12_pc,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_13_14_pc,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_15_17_pc,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_18_20_pc,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_DC_21_24_pc,One_PF_BPBAu_Tot,One_PF_BPBAu_Tot_pc,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_0_4_pc,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_5_9_pc,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_10_12_pc,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_13_14_pc,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_15_17_pc,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_18_20_pc,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_DC_21_24_pc,One_PF_BP_NS_Tot,One_PF_BP_NS_Tot_pc,One_PF_Tot_DC_0_4,One_PF_Tot_DC_0_4_pc,One_PF_Tot_DC_5_9,One_PF_Tot_DC_5_9_pc,One_PF_Tot_DC_10_12,One_PF_Tot_DC_10_12_pc,One_PF_Tot_DC_13_14,One_PF_Tot_DC_13_14_pc,One_PF_Tot_DC_15_17,One_PF_Tot_DC_15_17_pc,One_PF_Tot_DC_18_20,One_PF_Tot_DC_18_20_pc,One_PF_Tot_DC_21_24,One_PF_Tot_DC_21_24_pc,One_PF_Tot_Tot,One_PF_Tot_Tot_pc,Tot_DC_0_4,Tot_DC_0_4_pc,Tot_DC_5_9,Tot_DC_5_9_pc,Tot_DC_10_12,Tot_DC_10_12_pc,Tot_DC_13_14,Tot_DC_13_14_pc,Tot_DC_15_17,Tot_DC_15_17_pc,Tot_DC_18_20,Tot_DC_18_20_pc,Tot_DC_21_24,Tot_DC_21_24_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Albert Park,821.0,0.0879,628.0,0.0673,252.0,0.027,125.0,0.0134,135.0,0.0145,84.0,0.009,24.0,0.0026,2189.0,0.2345,234.0,0.0251,192.0,0.0206,99.0,0.0106,52.0,0.0056,87.0,0.0093,28.0,0.003,8.0,0.0009,943.0,0.101,308.0,0.033,260.0,0.0279,115.0,0.0123,47.0,0.005,72.0,0.0077,21.0,0.0022,3.0,0.0003,1080.0,0.1157,923.0,0.0989,767.0,0.0822,514.0,0.0551,284.0,0.0304,369.0,0.0395,234.0,0.0251,97.0,0.0104,3409.0,0.3652,3.0,0.0003,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.001,2450.0,0.2625,1979.0,0.212,1033.0,0.1107,586.0,0.0628,804.0,0.0861,466.0,0.0499,177.0,0.019,7639.0,0.8183,23.0,0.0025,82.0,0.0088,53.0,0.0057,21.0,0.0022,47.0,0.005,15.0,0.0016,19.0,0.002,526.0,0.0563,16.0,0.0017,25.0,0.0027,6.0,0.0006,0.0,0.0,13.0,0.0014,21.0,0.0022,3.0,0.0003,225.0,0.0241,3.0,0.0003,23.0,0.0025,22.0,0.0024,3.0,0.0003,10.0,0.0011,6.0,0.0006,0.0,0.0,175.0,0.0187,45.0,0.0048,114.0,0.0122,71.0,0.0076,48.0,0.0051,90.0,0.0096,59.0,0.0063,17.0,0.0018,702.0,0.0752,8.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0016,191.0,0.0205,354.0,0.0379,219.0,0.0235,140.0,0.015,217.0,0.0232,151.0,0.0162,56.0,0.006,1671.0,0.179,2702.0,0.2894,2415.0,0.2587,1321.0,0.1415,833.0,0.0892,1130.0,0.121,677.0,0.0725,290.0,0.0311,9335.0,1.0,9335.0
Ashwood,1719.0,0.0889,2259.0,0.1168,1127.0,0.0583,618.0,0.032,798.0,0.0413,652.0,0.0337,379.0,0.0196,7712.0,0.3988,292.0,0.0151,273.0,0.0141,201.0,0.0104,87.0,0.0045,139.0,0.0072,71.0,0.0037,17.0,0.0009,1396.0,0.0722,307.0,0.0159,317.0,0.0164,208.0,0.0108,94.0,0.0049,170.0,0.0088,65.0,0.0034,30.0,0.0016,1484.0,0.0767,973.0,0.0503,1198.0,0.062,982.0,0.0508,702.0,0.0363,1094.0,0.0566,717.0,0.0371,347.0,0.0179,6171.0,0.3191,15.0,0.0008,22.0,0.0011,0.0,0.0,3.0,0.0002,4.0,0.0002,0.0,0.0,0.0,0.0,74.0,0.0038,3404.0,0.176,4166.0,0.2154,2646.0,0.1368,1693.0,0.0875,2378.0,0.123,1628.0,0.0842,936.0,0.0484,16853.0,0.8715,64.0,0.0033,158.0,0.0082,87.0,0.0045,72.0,0.0037,156.0,0.0081,119.0,0.0062,59.0,0.0031,1071.0,0.0554,14.0,0.0007,18.0,0.0009,7.0,0.0004,18.0,0.0009,16.0,0.0008,12.0,0.0006,6.0,0.0003,208.0,0.0108,0.0,0.0,32.0,0.0017,7.0,0.0004,11.0,0.0006,20.0,0.001,6.0,0.0003,0.0,0.0,177.0,0.0092,42.0,0.0022,114.0,0.0059,99.0,0.0051,87.0,0.0045,164.0,0.0085,77.0,0.004,9.0,0.0005,859.0,0.0444,3.0,0.0002,9.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0016,185.0,0.0096,466.0,0.0241,353.0,0.0183,262.0,0.0135,500.0,0.0259,294.0,0.0152,160.0,0.0083,2475.0,0.128,3623.0,0.1874,4644.0,0.2401,2986.0,0.1544,2043.0,0.1056,2837.0,0.1467,1999.0,0.1034,1194.0,0.0617,19338.0,1.0,19338.0
Bass,517.0,0.0396,412.0,0.0316,147.0,0.0113,82.0,0.0063,97.0,0.0074,53.0,0.0041,22.0,0.0017,1553.0,0.119,150.0,0.0115,195.0,0.0149,57.0,0.0044,30.0,0.0023,67.0,0.0051,17.0,0.0013,3.0,0.0002,737.0,0.0565,216.0,0.0166,194.0,0.0149,66.0,0.0051,38.0,0.0029,62.0,0.0048,6.0,0.0005,0.0,0.0,772.0,0.0592,2132.0,0.1634,2093.0,0.1604,1170.0,0.0897,803.0,0.0615,866.0,0.0664,247.0,0.0189,65.0,0.005,7540.0,0.5779,0.0,0.0,3.0,0.0002,7.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0022,3273.0,0.2508,2938.0,0.2252,1632.0,0.1251,1098.0,0.0842,1245.0,0.0954,362.0,0.0277,93.0,0.0071,10676.0,0.8182,3.0,0.0002,11.0,0.0008,18.0,0.0014,0.0,0.0,5.0,0.0004,3.0,0.0002,4.0,0.0003,101.0,0.0077,11.0,0.0008,26.0,0.002,23.0,0.0018,14.0,0.0011,5.0,0.0004,0.0,0.0,0.0,0.0,178.0,0.0136,3.0,0.0002,21.0,0.0016,15.0,0.0011,0.0,0.0,6.0,0.0005,0.0,0.0,0.0,0.0,89.0,0.0068,262.0,0.0201,462.0,0.0354,283.0,0.0217,210.0,0.0161,257.0,0.0197,40.0,0.0031,0.0,0.0,1727.0,0.1324,4.0,0.0003,11.0,0.0008,9.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0037,365.0,0.028,605.0,0.0464,384.0,0.0294,311.0,0.0238,334.0,0.0256,50.0,0.0038,9.0,0.0007,2350.0,0.1801,3579.0,0.2743,3695.0,0.2832,2065.0,0.1583,1459.0,0.1118,1628.0,0.1248,444.0,0.034,124.0,0.0095,13048.0,1.0,13048.0
Bayswater,1332.0,0.0837,1430.0,0.0899,637.0,0.04,366.0,0.023,528.0,0.0332,346.0,0.0217,185.0,0.0116,5006.0,0.3146,203.0,0.0128,185.0,0.0116,91.0,0.0057,39.0,0.0025,68.0,0.0043,16.0,0.001,0.0,0.0,814.0,0.0512,294.0,0.0185,252.0,0.0158,109.0,0.0068,73.0,0.0046,44.0,0.0028,43.0,0.0027,8.0,0.0005,1059.0,0.0665,1773.0,0.1114,1611.0,0.1012,894.0,0.0562,553.0,0.0348,667.0,0.0419,263.0,0.0165,75.0,0.0047,6069.0,0.3814,4.0,0.0003,4.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0016,3727.0,0.2342,3578.0,0.2248,1847.0,0.1161,1211.0,0.0761,1421.0,0.0893,844.0,0.053,407.0,0.0256,12980.0,0.8157,39.0,0.0025,105.0,0.0066,34.0,0.0021,21.0,0.0013,47.0,0.003,28.0,0.0018,18.0,0.0011,528.0,0.0332,3.0,0.0002,41.0,0.0026,16.0,0.001,10.0,0.0006,22.0,0.0014,12.0,0.0008,4.0,0.0003,270.0,0.017,18.0,0.0011,25.0,0.0016,7.0,0.0004,5.0,0.0003,12.0,0.0008,6.0,0.0004,0.0,0.0,192.0,0.0121,258.0,0.0162,416.0,0.0261,263.0,0.0165,206.0,0.0129,304.0,0.0191,74.0,0.0047,20.0,0.0013,1807.0,0.1136,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0008,401.0,0.0252,671.0,0.0422,482.0,0.0303,373.0,0.0234,501.0,0.0315,213.0,0.0134,97.0,0.0061,2906.0,0.1826,4118.0,0.2588,4265.0,0.268,2311.0,0.1452,1551.0,0.0975,1925.0,0.121,1075.0,0.0676,536.0,0.0337,15913.0,1.0,15913.0
Bellarine,119.0,0.0084,160.0,0.0113,53.0,0.0037,25.0,0.0018,75.0,0.0053,28.0,0.002,3.0,0.0002,654.0,0.0463,201.0,0.0142,237.0,0.0168,143.0,0.0101,65.0,0.0046,84.0,0.0059,32.0,0.0023,0.0,0.0,929.0,0.0657,184.0,0.013,213.0,0.0151,109.0,0.0077,24.0,0.0017,50.0,0.0035,0.0,0.0,0.0,0.0,862.0,0.061,2244.0,0.1587,2506.0,0.1773,1507.0,0.1066,941.0,0.0666,1111.0,0.0786,458.0,0.0324,139.0,0.0098,9074.0,0.6419,3.0,0.0002,0.0,0.0,4.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0028,2895.0,0.2048,3270.0,0.2313,1916.0,0.1355,1180.0,0.0835,1452.0,0.1027,594.0,0.042,201.0,0.0142,11604.0,0.8209,0.0,0.0,10.0,0.0007,5.0,0.0004,0.0,0.0,5.0,0.0004,0.0,0.0,0.0,0.0,83.0,0.0059,23.0,0.0016,50.0,0.0035,23.0,0.0016,19.0,0.0013,18.0,0.0013,11.0,0.0008,0.0,0.0,280.0,0.0198,0.0,0.0,13.0,0.0009,9.0,0.0006,4.0,0.0003,11.0,0.0008,0.0,0.0,0.0,0.0,111.0,0.0079,249.0,0.0176,485.0,0.0343,303.0,0.0214,229.0,0.0162,371.0,0.0262,56.0,0.004,6.0,0.0004,1953.0,0.1382,3.0,0.0002,11.0,0.0008,3.0,0.0002,5.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0029,314.0,0.0222,651.0,0.0461,458.0,0.0324,303.0,0.0214,445.0,0.0315,87.0,0.0062,36.0,0.0025,2481.0,0.1755,3228.0,0.2284,3913.0,0.2768,2410.0,0.1705,1587.0,0.1123,1935.0,0.1369,754.0,0.0533,259.0,0.0183,14136.0,1.0,14136.0
Benambra,216.0,0.0149,217.0,0.015,119.0,0.0082,58.0,0.004,78.0,0.0054,30.0,0.0021,12.0,0.0008,921.0,0.0637,116.0,0.008,102.0,0.0071,62.0,0.0043,27.0,0.0019,11.0,0.0008,6.0,0.0004,0.0,0.0,485.0,0.0335,127.0,0.0088,118.0,0.0082,55.0,0.0038,26.0,0.0018,24.0,0.0017,0.0,0.0,0.0,0.0,559.0,0.0387,2460.0,0.1701,2555.0,0.1767,1536.0,0.1062,1044.0,0.0722,1218.0,0.0842,196.0,0.0136,39.0,0.0027,9208.0,0.6367,6.0,0.0004,12.0,0.0008,5.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0026,3025.0,0.2092,3123.0,0.2159,1887.0,0.1305,1255.0,0.0868,1439.0,0.0995,309.0,0.0214,59.0,0.0041,11235.0,0.7769,10.0,0.0007,7.0,0.0005,12.0,0.0008,8.0,0.0006,6.0,0.0004,7.0,0.0005,0.0,0.0,124.0,0.0086,6.0,0.0004,9.0,0.0006,13.0,0.0009,4.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0085,8.0,0.0006,13.0,0.0009,5.0,0.0003,10.0,0.0007,20.0,0.0014,0.0,0.0,0.0,0.0,94.0,0.0065,465.0,0.0322,761.0,0.0526,509.0,0.0352,317.0,0.0219,385.0,0.0266,53.0,0.0037,3.0,0.0002,2786.0,0.1926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0014,532.0,0.0368,881.0,0.0609,581.0,0.0402,383.0,0.0265,461.0,0.0319,82.0,0.0057,3.0,0.0002,3222.0,0.2228,3599.0,0.2489,4019.0,0.2779,2539.0,0.1756,1736.0,0.12,1993.0,0.1378,411.0,0.0284,100.0,0.0069,14462.0,1.0,14462.0
Bendigo East,347.0,0.021,375.0,0.0227,135.0,0.0082,66.0,0.004,113.0,0.0068,36.0,0.0022,6.0,0.0004,1370.0,0.0828,90.0,0.0054,100.0,0.006,40.0,0.0024,34.0,0.0021,55.0,0.0033,9.0,0.0005,7.0,0.0004,544.0,0.0329,88.0,0.0053,109.0,0.0066,38.0,0.0023,24.0,0.0015,19.0,0.0011,0.0,0.0,0.0,0.0,517.0,0.0312,2831.0,0.1711,2881.0,0.1741,1717.0,0.1038,1125.0,0.068,1296.0,0.0783,427.0,0.0258,119.0,0.0072,10391.0,0.6279,15.0,0.0009,7.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0029,3489.0,0.2108,3615.0,0.2185,2078.0,0.1256,1398.0,0.0845,1570.0,0.0949,582.0,0.0352,187.0,0.0113,12932.0,0.7815,18.0,0.0011,26.0,0.0016,9.0,0.0005,10.0,0.0006,3.0,0.0002,3.0,0.0002,0.0,0.0,119.0,0.0072,25.0,0.0015,55.0,0.0033,9.0,0.0005,16.0,0.001,29.0,0.0018,5.0,0.0003,0.0,0.0,238.0,0.0144,0.0,0.0,3.0,0.0002,15.0,0.0009,3.0,0.0002,8.0,0.0005,0.0,0.0,0.0,0.0,72.0,0.0044,529.0,0.032,780.0,0.0471,566.0,0.0342,368.0,0.0222,442.0,0.0267,62.0,0.0037,25.0,0.0015,2992.0,0.1808,17.0,0.001,3.0,0.0002,5.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0031,633.0,0.0383,922.0,0.0557,682.0,0.0412,460.0,0.0278,545.0,0.0329,97.0,0.0059,28.0,0.0017,3567.0,0.2156,4111.0,0.2484,4565.0,0.2759,2744.0,0.1658,1891.0,0.1143,2143.0,0.1295,718.0,0.0434,242.0,0.0146,16548.0,1.0,16548.0
Bendigo West,224.0,0.0181,206.0,0.0167,59.0,0.0048,34.0,0.0028,82.0,0.0066,19.0,0.0015,4.0,0.0003,877.0,0.071,137.0,0.0111,123.0,0.01,45.0,0.0036,23.0,0.0019,44.0,0.0036,8.0,0.0006,3.0,0.0002,546.0,0.0442,95.0,0.0077,99.0,0.008,51.0,0.0041,0.0,0.0,34.0,0.0028,3.0,0.0002,0.0,0.0,431.0,0.0349,2087.0,0.1691,2027.0,0.1642,1155.0,0.0936,783.0,0.0634,971.0,0.0787,268.0,0.0217,74.0,0.006,7370.0,0.5971,14.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.002,2574.0,0.2085,2553.0,0.2068,1401.0,0.1135,960.0,0.0778,1222.0,0.099,351.0,0.0284,101.0,0.0082,9322.0,0.7552,4.0,0.0003,14.0,0.0011,8.0,0.0006,11.0,0.0009,8.0,0.0006,4.0,0.0003,0.0,0.0,115.0,0.0093,6.0,0.0005,42.0,0.0034,19.0,0.0015,3.0,0.0002,4.0,0.0003,3.0,0.0002,0.0,0.0,182.0,0.0147,12.0,0.001,4.0,0.0003,17.0,0.0014,0.0,0.0,9.0,0.0007,0.0,0.0,0.0,0.0,76.0,0.0062,452.0,0.0366,695.0,0.0563,418.0,0.0339,325.0,0.0263,322.0,0.0261,25.0,0.002,7.0,0.0006,2533.0,0.2052,0.0,0.0,26.0,0.0021,5.0,0.0004,0.0,0.0,4.0,0.0003,0.0,0.0,0.0,0.0,71.0,0.0058,564.0,0.0457,878.0,0.0711,521.0,0.0422,388.0,0.0314,472.0,0.0382,50.0,0.0041,14.0,0.0011,3111.0,0.252,3143.0,0.2546,3458.0,0.2801,1925.0,0.1559,1438.0,0.1165,1664.0,0.1348,475.0,0.0385,138.0,0.0112,12344.0,1.0,12344.0
Bentleigh,1268.0,0.0647,1717.0,0.0877,1045.0,0.0534,566.0,0.0289,757.0,0.0387,448.0,0.0229,170.0,0.0087,6162.0,0.3146,382.0,0.0195,405.0,0.0207,228.0,0.0116,176.0,0.009,170.0,0.0087,96.0,0.0049,35.0,0.0018,1801.0,0.092,485.0,0.0248,472.0,0.0241,256.0,0.0131,112.0,0.0057,164.0,0.0084,74.0,0.0038,13.0,0.0007,1830.0,0.0934,1506.0,0.0769,1632.0,0.0833,1024.0,0.0523,736.0,0.0376,1042.0,0.0532,563.0,0.0287,238.0,0.0122,6904.0,0.3525,0.0,0.0,3.0,0.0002,4.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0022,3786.0,0.1933,4347.0,0.222,2615.0,0.1335,1710.0,0.0873,2249.0,0.1148,1337.0,0.0683,674.0,0.0344,16777.0,0.8567,15.0,0.0008,134.0,0.0068,125.0,0.0064,110.0,0.0056,113.0,0.0058,88.0,0.0045,23.0,0.0012,975.0,0.0498,8.0,0.0004,46.0,0.0023,19.0,0.001,26.0,0.0013,48.0,0.0025,26.0,0.0013,7.0,0.0004,355.0,0.0181,8.0,0.0004,40.0,0.002,30.0,0.0015,11.0,0.0006,18.0,0.0009,4.0,0.0002,4.0,0.0002,256.0,0.0131,57.0,0.0029,155.0,0.0079,145.0,0.0074,129.0,0.0066,186.0,0.0095,112.0,0.0057,41.0,0.0021,1079.0,0.0551,4.0,0.0002,8.0,0.0004,0.0,0.0,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0009,175.0,0.0089,491.0,0.0251,475.0,0.0243,361.0,0.0184,509.0,0.026,329.0,0.0168,156.0,0.008,2774.0,0.1416,3986.0,0.2035,4923.0,0.2514,3167.0,0.1617,2168.0,0.1107,2792.0,0.1426,1737.0,0.0887,887.0,0.0453,19584.0,1.0,19584.0
Berwick,2832.0,0.1183,3261.0,0.1362,1731.0,0.0723,967.0,0.0404,1146.0,0.0479,743.0,0.031,353.0,0.0147,11117.0,0.4645,332.0,0.0139,386.0,0.0161,196.0,0.0082,132.0,0.0055,180.0,0.0075,83.0,0.0035,36.0,0.0015,1535.0,0.0641,221.0,0.0092,297.0,0.0124,105.0,0.0044,81.0,0.0034,155.0,0.0065,53.0,0.0022,22.0,0.0009,1279.0,0.0534,1785.0,0.0746,1781.0,0.0744,1142.0,0.0477,709.0,0.0296,1104.0,0.0461,427.0,0.0178,168.0,0.007,7260.0,0.3033,11.0,0.0005,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0026,5311.0,0.2219,5909.0,0.2469,3349.0,0.1399,1928.0,0.0806,2688.0,0.1123,1385.0,0.0579,656.0,0.0274,21282.0,0.8892,75.0,0.0031,130.0,0.0054,55.0,0.0023,64.0,0.0027,69.0,0.0029,29.0,0.0012,27.0,0.0011,706.0,0.0295,23.0,0.001,51.0,0.0021,28.0,0.0012,7.0,0.0003,32.0,0.0013,3.0,0.0001,8.0,0.0003,304.0,0.0127,7.0,0.0003,28.0,0.0012,15.0,0.0006,3.0,0.0001,7.0,0.0003,3.0,0.0001,0.0,0.0,153.0,0.0064,203.0,0.0085,315.0,0.0132,154.0,0.0064,105.0,0.0044,217.0,0.0091,51.0,0.0021,21.0,0.0009,1319.0,0.0551,9.0,0.0004,7.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0014,421.0,0.0176,604.0,0.0252,353.0,0.0147,259.0,0.0108,460.0,0.0192,163.0,0.0068,96.0,0.004,2657.0,0.111,5740.0,0.2398,6553.0,0.2738,3719.0,0.1554,2272.0,0.0949,3085.0,0.1289,1673.0,0.0699,802.0,0.0335,23935.0,1.0,23935.0
