district,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,P_Tot_Tot_total
Albert Park,270.0,2067.0,7518.0,5481.0,3724.0,2818.0,1785.0,720.0,80.0,24649.0,6.0,61.0,367.0,200.0,333.0,424.0,177.0,54.0,11.0,2048.0,0.0,38.0,198.0,207.0,250.0,304.0,225.0,124.0,16.0,1799.0,0.0,0.0,40.0,12.0,43.0,71.0,57.0,36.0,0.0,477.0,0.0,3.0,7.0,8.0,3.0,21.0,56.0,106.0,32.0,474.0,0.0,0.0,11.0,8.0,0.0,0.0,9.0,6.0,0.0,88.0,26.0,103.0,532.0,368.0,308.0,283.0,180.0,127.0,46.0,2345.0,412.0,2396.0,8933.0,6478.0,4889.0,4135.0,2785.0,1426.0,355.0,31964.0,326.0,2223.0,8023.0,5596.0,4204.0,2856.0,1746.0,588.0,124.0,25797.0,16.0,94.0,331.0,85.0,322.0,432.0,333.0,121.0,10.0,2008.0,3.0,30.0,118.0,94.0,194.0,311.0,297.0,140.0,14.0,1561.0,4.0,0.0,3.0,13.0,20.0,59.0,84.0,35.0,12.0,397.0,0.0,0.0,6.0,0.0,19.0,26.0,83.0,201.0,104.0,619.0,0.0,0.0,20.0,6.0,4.0,5.0,15.0,32.0,14.0,166.0,14.0,114.0,554.0,327.0,230.0,225.0,179.0,142.0,69.0,2252.0,465.0,2523.0,9233.0,6345.0,5076.0,4087.0,2909.0,1537.0,496.0,32867.0,692.0,4339.0,15511.0,11039.0,7883.0,5663.0,3566.0,1423.0,251.0,50370.0,36.0,188.0,762.0,354.0,701.0,944.0,568.0,211.0,36.0,4056.0,19.0,85.0,379.0,350.0,481.0,650.0,560.0,361.0,57.0,3306.0,0.0,0.0,50.0,41.0,76.0,161.0,162.0,108.0,32.0,954.0,0.0,3.0,38.0,24.0,37.0,60.0,190.0,368.0,169.0,1159.0,0.0,0.0,44.0,19.0,4.0,16.0,30.0,49.0,27.0,327.0,43.0,259.0,1160.0,839.0,588.0,547.0,417.0,314.0,161.0,4618.0,945.0,5028.0,18118.0,12870.0,9995.0,8165.0,5699.0,3050.0,943.0,64812.0,64812.0
Ashwood,698.0,2824.0,4819.0,4645.0,4284.0,3347.0,2182.0,1043.0,361.0,24218.0,20.0,32.0,121.0,72.0,360.0,482.0,194.0,114.0,32.0,1881.0,11.0,35.0,86.0,102.0,250.0,268.0,259.0,246.0,84.0,1695.0,0.0,3.0,9.0,15.0,45.0,47.0,96.0,70.0,34.0,597.0,0.0,0.0,7.0,3.0,9.0,31.0,102.0,229.0,120.0,761.0,0.0,0.0,13.0,5.0,17.0,19.0,9.0,11.0,5.0,200.0,19.0,119.0,304.0,134.0,120.0,82.0,69.0,61.0,37.0,1375.0,891.0,3209.0,5495.0,5214.0,5294.0,4505.0,3223.0,2050.0,958.0,30879.0,703.0,2622.0,4447.0,5185.0,4987.0,3633.0,2161.0,1006.0,355.0,25188.0,7.0,6.0,32.0,60.0,248.0,451.0,347.0,298.0,109.0,1989.0,0.0,13.0,18.0,26.0,162.0,263.0,370.0,426.0,184.0,1767.0,0.0,0.0,7.0,0.0,36.0,63.0,107.0,129.0,72.0,753.0,0.0,0.0,0.0,6.0,15.0,45.0,203.0,375.0,215.0,1104.0,0.0,0.0,4.0,6.0,18.0,26.0,37.0,24.0,17.0,291.0,29.0,75.0,195.0,119.0,132.0,96.0,103.0,120.0,129.0,1414.0,814.0,2824.0,4931.0,5635.0,5822.0,4901.0,3581.0,2619.0,1377.0,32444.0,1477.0,5461.0,9226.0,9843.0,9300.0,6950.0,4324.0,1996.0,752.0,49420.0,41.0,74.0,216.0,151.0,722.0,1014.0,617.0,487.0,171.0,3773.0,11.0,67.0,143.0,189.0,447.0,608.0,705.0,733.0,327.0,3491.0,0.0,7.0,41.0,34.0,118.0,172.0,242.0,332.0,169.0,1373.0,3.0,0.0,14.0,16.0,32.0,106.0,336.0,609.0,424.0,1839.0,0.0,0.0,24.0,21.0,41.0,77.0,109.0,63.0,34.0,614.0,69.0,222.0,562.0,344.0,319.0,252.0,207.0,234.0,208.0,2833.0,1742.0,5996.0,10470.0,10879.0,11141.0,9374.0,6761.0,4730.0,2338.0,63394.0,63394.0
Bass,195.0,833.0,2127.0,2151.0,1489.0,1345.0,1600.0,588.0,35.0,10475.0,70.0,151.0,506.0,386.0,754.0,1010.0,799.0,212.0,20.0,4162.0,110.0,145.0,643.0,613.0,866.0,1186.0,998.0,493.0,91.0,5457.0,16.0,15.0,120.0,159.0,228.0,394.0,557.0,290.0,41.0,2115.0,3.0,0.0,27.0,45.0,48.0,89.0,217.0,252.0,122.0,1152.0,0.0,0.0,6.0,0.0,3.0,0.0,7.0,12.0,19.0,103.0,30.0,45.0,192.0,242.0,194.0,283.0,357.0,209.0,89.0,1974.0,723.0,1451.0,3759.0,3775.0,3857.0,4460.0,4593.0,2298.0,603.0,25597.0,329.0,1070.0,2982.0,2792.0,2077.0,1958.0,1475.0,543.0,111.0,13534.0,37.0,81.0,304.0,284.0,699.0,1137.0,773.0,180.0,22.0,3836.0,50.0,79.0,346.0,350.0,586.0,1000.0,1094.0,490.0,111.0,4391.0,0.0,10.0,57.0,45.0,146.0,305.0,462.0,269.0,73.0,1718.0,11.0,0.0,9.0,6.0,29.0,97.0,266.0,289.0,195.0,1170.0,0.0,0.0,3.0,3.0,11.0,7.0,4.0,10.0,11.0,103.0,45.0,32.0,152.0,205.0,131.0,288.0,357.0,254.0,119.0,2035.0,608.0,1469.0,4075.0,3912.0,4025.0,4953.0,4656.0,2291.0,838.0,26824.0,586.0,1999.0,5112.0,4885.0,3652.0,3338.0,3099.0,1161.0,222.0,24095.0,149.0,257.0,864.0,722.0,1492.0,2118.0,1527.0,486.0,55.0,7973.0,216.0,258.0,1002.0,1027.0,1457.0,2275.0,2149.0,1007.0,231.0,9876.0,31.0,38.0,200.0,289.0,442.0,737.0,1006.0,610.0,137.0,3829.0,11.0,3.0,52.0,71.0,104.0,240.0,531.0,656.0,336.0,2304.0,0.0,0.0,13.0,10.0,27.0,10.0,15.0,39.0,24.0,232.0,130.0,132.0,418.0,519.0,442.0,614.0,792.0,502.0,275.0,4003.0,1320.0,2899.0,7882.0,7692.0,7827.0,9480.0,9201.0,4578.0,1460.0,52451.0,52451.0
Bayswater,403.0,1608.0,3838.0,4018.0,2488.0,1757.0,1471.0,690.0,141.0,16395.0,39.0,123.0,440.0,354.0,782.0,817.0,503.0,127.0,12.0,3450.0,75.0,132.0,426.0,522.0,699.0,825.0,669.0,354.0,57.0,4059.0,8.0,11.0,67.0,106.0,160.0,175.0,289.0,199.0,37.0,1423.0,3.0,0.0,12.0,36.0,22.0,62.0,149.0,167.0,87.0,884.0,0.0,0.0,16.0,14.0,16.0,12.0,7.0,7.0,0.0,160.0,23.0,39.0,170.0,185.0,164.0,81.0,108.0,124.0,65.0,1361.0,749.0,2107.0,5149.0,5395.0,4520.0,3940.0,3393.0,1997.0,642.0,27811.0,419.0,1691.0,4399.0,4651.0,3098.0,2049.0,1537.0,589.0,125.0,18582.0,8.0,74.0,250.0,208.0,658.0,912.0,709.0,184.0,28.0,3348.0,27.0,44.0,280.0,278.0,491.0,744.0,961.0,527.0,120.0,3754.0,0.0,6.0,20.0,31.0,125.0,206.0,379.0,190.0,74.0,1410.0,0.0,0.0,6.0,6.0,39.0,78.0,220.0,275.0,192.0,1175.0,0.0,0.0,9.0,3.0,20.0,18.0,19.0,16.0,0.0,231.0,31.0,27.0,135.0,120.0,80.0,57.0,123.0,163.0,217.0,1466.0,635.0,2035.0,5247.0,5609.0,4639.0,4383.0,4096.0,2243.0,1036.0,29952.0,900.0,3238.0,8202.0,8633.0,5584.0,3788.0,2970.0,1280.0,302.0,34926.0,87.0,268.0,677.0,631.0,1439.0,1801.0,1282.0,442.0,78.0,6827.0,131.0,237.0,726.0,847.0,1209.0,1587.0,1617.0,913.0,195.0,7743.0,10.0,26.0,110.0,174.0,359.0,532.0,683.0,494.0,139.0,2856.0,3.0,3.0,34.0,60.0,119.0,212.0,437.0,559.0,317.0,2054.0,0.0,0.0,16.0,31.0,49.0,52.0,60.0,39.0,13.0,451.0,88.0,106.0,403.0,378.0,328.0,208.0,286.0,367.0,311.0,2877.0,1414.0,4093.0,10391.0,10964.0,9222.0,8300.0,7509.0,4292.0,1697.0,57827.0,57827.0
Bellarine,318.0,1055.0,2048.0,2471.0,2102.0,1855.0,2221.0,903.0,160.0,13399.0,63.0,123.0,296.0,381.0,832.0,1113.0,938.0,261.0,42.0,4325.0,49.0,37.0,363.0,481.0,598.0,949.0,1065.0,595.0,105.0,4384.0,7.0,7.0,77.0,63.0,108.0,184.0,408.0,312.0,49.0,1561.0,0.0,0.0,6.0,8.0,12.0,62.0,188.0,229.0,132.0,879.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,34.0,25.0,21.0,82.0,91.0,142.0,197.0,264.0,213.0,87.0,1558.0,696.0,1436.0,3038.0,3698.0,4004.0,4454.0,5227.0,2752.0,728.0,26191.0,344.0,1071.0,2608.0,3351.0,3048.0,2610.0,2203.0,835.0,223.0,16465.0,37.0,31.0,186.0,243.0,765.0,1287.0,1144.0,389.0,67.0,4372.0,28.0,39.0,205.0,334.0,465.0,927.0,1221.0,672.0,165.0,4153.0,0.0,0.0,27.0,28.0,69.0,196.0,445.0,311.0,107.0,1465.0,0.0,0.0,4.0,0.0,9.0,54.0,194.0,299.0,141.0,905.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,32.0,27.0,21.0,59.0,127.0,116.0,200.0,350.0,275.0,198.0,1753.0,566.0,1388.0,3237.0,4229.0,4586.0,5438.0,5742.0,3001.0,1171.0,29299.0,713.0,2145.0,4692.0,5804.0,5236.0,4510.0,4498.0,1819.0,454.0,29883.0,133.0,236.0,533.0,645.0,1578.0,2466.0,2057.0,712.0,106.0,8747.0,114.0,148.0,587.0,777.0,1110.0,1821.0,2277.0,1307.0,323.0,8638.0,16.0,7.0,123.0,116.0,226.0,473.0,895.0,663.0,205.0,3053.0,0.0,0.0,21.0,12.0,38.0,147.0,454.0,608.0,309.0,1826.0,0.0,3.0,4.0,11.0,0.0,7.0,16.0,11.0,7.0,122.0,83.0,78.0,159.0,266.0,327.0,465.0,634.0,571.0,291.0,3222.0,1282.0,2825.0,6248.0,7895.0,8618.0,9941.0,10968.0,5747.0,2018.0,55478.0,55478.0
Benambra,355.0,1041.0,2105.0,2021.0,1704.0,1187.0,1309.0,450.0,59.0,10392.0,131.0,202.0,535.0,464.0,736.0,875.0,585.0,128.0,24.0,4011.0,175.0,178.0,741.0,751.0,992.0,1304.0,1028.0,518.0,49.0,5981.0,8.0,0.0,119.0,133.0,185.0,336.0,403.0,210.0,36.0,1749.0,8.0,0.0,12.0,10.0,40.0,91.0,227.0,271.0,135.0,1078.0,3.0,0.0,3.0,3.0,20.0,0.0,3.0,6.0,0.0,88.0,69.0,75.0,170.0,214.0,158.0,223.0,219.0,154.0,81.0,1734.0,964.0,1732.0,3843.0,3785.0,4053.0,4280.0,3973.0,1947.0,547.0,25231.0,347.0,1181.0,2745.0,2900.0,2434.0,1792.0,1213.0,408.0,80.0,13299.0,51.0,74.0,349.0,341.0,724.0,1002.0,645.0,184.0,28.0,3696.0,89.0,114.0,488.0,443.0,743.0,1229.0,1147.0,513.0,143.0,5100.0,11.0,4.0,39.0,51.0,89.0,280.0,416.0,253.0,36.0,1487.0,0.0,12.0,18.0,23.0,9.0,59.0,224.0,237.0,226.0,1001.0,0.0,0.0,0.0,5.0,6.0,10.0,6.0,0.0,3.0,91.0,66.0,47.0,171.0,186.0,165.0,206.0,208.0,179.0,126.0,1760.0,722.0,1636.0,3916.0,4218.0,4336.0,4660.0,4014.0,2099.0,874.0,26541.0,773.0,2307.0,4842.0,4933.0,4149.0,2977.0,2577.0,960.0,161.0,23778.0,223.0,386.0,906.0,872.0,1492.0,1888.0,1253.0,421.0,65.0,7722.0,309.0,357.0,1243.0,1274.0,1814.0,2503.0,2192.0,1069.0,208.0,11104.0,24.0,9.0,156.0,214.0,320.0,709.0,842.0,580.0,133.0,3313.0,8.0,12.0,45.0,73.0,57.0,189.0,537.0,592.0,362.0,2175.0,4.0,0.0,4.0,10.0,34.0,27.0,16.0,14.0,3.0,202.0,174.0,157.0,422.0,444.0,420.0,487.0,482.0,406.0,232.0,3511.0,1697.0,3372.0,7774.0,7999.0,8471.0,8938.0,8028.0,4115.0,1460.0,51760.0,51760.0
Bendigo East,408.0,1490.0,2792.0,2507.0,1945.0,1335.0,1210.0,514.0,73.0,12378.0,109.0,246.0,463.0,394.0,761.0,950.0,612.0,124.0,10.0,3938.0,159.0,174.0,573.0,632.0,807.0,1029.0,886.0,365.0,66.0,4927.0,15.0,30.0,110.0,115.0,170.0,317.0,376.0,222.0,54.0,1834.0,6.0,9.0,26.0,34.0,48.0,116.0,221.0,278.0,122.0,1222.0,0.0,0.0,4.0,11.0,12.0,11.0,0.0,0.0,0.0,107.0,57.0,85.0,197.0,144.0,208.0,226.0,192.0,124.0,96.0,1738.0,904.0,2164.0,4376.0,4128.0,4123.0,4182.0,3738.0,1903.0,615.0,26186.0,530.0,1783.0,3563.0,3378.0,2684.0,1838.0,1280.0,407.0,105.0,15608.0,49.0,134.0,334.0,337.0,745.0,1056.0,726.0,232.0,51.0,3996.0,66.0,103.0,418.0,433.0,570.0,1016.0,959.0,509.0,140.0,4494.0,0.0,13.0,47.0,45.0,80.0,317.0,389.0,235.0,94.0,1671.0,0.0,0.0,26.0,19.0,43.0,62.0,293.0,279.0,239.0,1180.0,0.0,0.0,7.0,3.0,25.0,13.0,3.0,4.0,0.0,124.0,49.0,47.0,189.0,181.0,185.0,207.0,201.0,249.0,184.0,1907.0,890.0,2233.0,4789.0,4646.0,4539.0,4695.0,3967.0,2126.0,1005.0,29040.0,986.0,3270.0,6348.0,5913.0,4644.0,3195.0,2511.0,895.0,232.0,27940.0,200.0,416.0,834.0,761.0,1510.0,2096.0,1416.0,463.0,101.0,7890.0,263.0,347.0,1092.0,1140.0,1406.0,2056.0,1845.0,906.0,234.0,9411.0,33.0,53.0,219.0,201.0,363.0,651.0,823.0,592.0,185.0,3491.0,9.0,8.0,78.0,98.0,142.0,266.0,569.0,617.0,358.0,2469.0,0.0,0.0,37.0,29.0,59.0,32.0,20.0,10.0,0.0,311.0,141.0,156.0,393.0,397.0,462.0,516.0,473.0,406.0,320.0,3598.0,1866.0,4415.0,9179.0,8729.0,8656.0,8898.0,7760.0,4080.0,1674.0,55194.0,55194.0
Bendigo West,215.0,1020.0,2215.0,2073.0,1686.0,1232.0,1357.0,540.0,100.0,10694.0,65.0,176.0,401.0,355.0,662.0,852.0,534.0,138.0,11.0,3454.0,134.0,201.0,682.0,705.0,832.0,1068.0,851.0,372.0,60.0,5149.0,11.0,7.0,83.0,104.0,180.0,330.0,413.0,315.0,57.0,1819.0,6.0,0.0,46.0,37.0,60.0,104.0,243.0,260.0,138.0,1188.0,0.0,0.0,7.0,14.0,14.0,21.0,10.0,3.0,0.0,165.0,49.0,98.0,286.0,220.0,224.0,221.0,286.0,203.0,142.0,1990.0,638.0,1688.0,3841.0,3780.0,3817.0,3953.0,3898.0,2147.0,747.0,24459.0,337.0,1172.0,2712.0,2731.0,2317.0,1899.0,1452.0,547.0,128.0,13363.0,27.0,66.0,328.0,264.0,590.0,941.0,664.0,236.0,17.0,3475.0,22.0,109.0,389.0,436.0,566.0,896.0,987.0,473.0,119.0,4217.0,9.0,7.0,44.0,60.0,148.0,297.0,419.0,295.0,94.0,1663.0,0.0,0.0,28.0,39.0,28.0,98.0,310.0,402.0,202.0,1298.0,0.0,0.0,15.0,3.0,12.0,12.0,18.0,0.0,0.0,139.0,49.0,44.0,228.0,159.0,198.0,216.0,254.0,280.0,301.0,2140.0,611.0,1604.0,3906.0,3856.0,4086.0,4506.0,4192.0,2415.0,1160.0,26324.0,649.0,2197.0,4919.0,4861.0,4009.0,3129.0,2869.0,1120.0,271.0,24086.0,145.0,295.0,715.0,680.0,1302.0,1863.0,1256.0,484.0,58.0,6865.0,207.0,333.0,1068.0,1145.0,1392.0,2001.0,1843.0,879.0,260.0,9327.0,33.0,22.0,193.0,172.0,415.0,679.0,870.0,660.0,193.0,3541.0,5.0,3.0,76.0,113.0,121.0,240.0,608.0,704.0,378.0,2528.0,0.0,0.0,28.0,50.0,27.0,47.0,38.0,13.0,0.0,351.0,149.0,155.0,483.0,480.0,463.0,503.0,604.0,510.0,488.0,4079.0,1310.0,3216.0,7695.0,7570.0,7922.0,8502.0,8036.0,4598.0,1891.0,50773.0,50773.0
Bentleigh,592.0,1890.0,3742.0,4785.0,4366.0,2762.0,1649.0,657.0,196.0,20607.0,3.0,19.0,118.0,164.0,532.0,568.0,306.0,84.0,28.0,2188.0,38.0,31.0,131.0,168.0,385.0,485.0,335.0,182.0,70.0,2128.0,7.0,0.0,3.0,17.0,53.0,56.0,89.0,74.0,35.0,646.0,0.0,0.0,3.0,0.0,3.0,16.0,93.0,225.0,196.0,791.0,0.0,0.0,0.0,6.0,13.0,14.0,13.0,20.0,5.0,192.0,24.0,33.0,151.0,113.0,100.0,101.0,59.0,79.0,53.0,1117.0,845.0,2118.0,4417.0,5464.0,5596.0,4172.0,2828.0,1632.0,807.0,27879.0,569.0,1767.0,3986.0,5601.0,5156.0,3035.0,1733.0,689.0,308.0,22930.0,0.0,10.0,42.0,101.0,358.0,668.0,454.0,195.0,116.0,2240.0,3.0,6.0,43.0,60.0,183.0,354.0,441.0,340.0,224.0,2078.0,12.0,0.0,0.0,3.0,15.0,43.0,122.0,109.0,85.0,719.0,0.0,0.0,4.0,0.0,13.0,24.0,198.0,457.0,294.0,1203.0,0.0,3.0,11.0,4.0,0.0,16.0,9.0,39.0,7.0,224.0,14.0,44.0,112.0,125.0,112.0,77.0,139.0,144.0,148.0,1339.0,717.0,1969.0,4377.0,6140.0,6089.0,4403.0,3261.0,2276.0,1559.0,30796.0,1196.0,3660.0,7737.0,10419.0,9479.0,5735.0,3386.0,1371.0,593.0,43636.0,30.0,52.0,228.0,286.0,923.0,1293.0,809.0,330.0,144.0,4450.0,43.0,46.0,249.0,258.0,652.0,929.0,815.0,600.0,319.0,4251.0,19.0,5.0,3.0,33.0,80.0,159.0,312.0,267.0,169.0,1390.0,0.0,0.0,10.0,3.0,23.0,62.0,393.0,774.0,499.0,2026.0,4.0,7.0,20.0,24.0,22.0,34.0,50.0,79.0,32.0,441.0,69.0,90.0,347.0,349.0,275.0,196.0,251.0,285.0,232.0,2510.0,1572.0,4083.0,8756.0,11499.0,11662.0,8617.0,6182.0,3885.0,2327.0,58658.0,58658.0
Berwick,643.0,2040.0,3756.0,5296.0,3417.0,1849.0,949.0,417.0,69.0,18620.0,52.0,163.0,364.0,327.0,764.0,653.0,308.0,82.0,9.0,3094.0,66.0,118.0,438.0,467.0,694.0,704.0,457.0,222.0,47.0,3564.0,6.0,0.0,88.0,93.0,105.0,144.0,146.0,83.0,14.0,1077.0,10.0,0.0,15.0,17.0,15.0,48.0,71.0,109.0,29.0,633.0,0.0,0.0,24.0,12.0,13.0,3.0,3.0,4.0,7.0,163.0,44.0,66.0,189.0,157.0,145.0,88.0,55.0,54.0,28.0,1176.0,1023.0,2576.0,5015.0,6603.0,5392.0,3711.0,2238.0,1219.0,364.0,28355.0,627.0,2025.0,4748.0,6001.0,3858.0,1898.0,959.0,366.0,88.0,20695.0,40.0,57.0,233.0,246.0,729.0,710.0,350.0,166.0,16.0,2783.0,21.0,41.0,234.0,292.0,483.0,612.0,637.0,332.0,97.0,3092.0,3.0,0.0,20.0,30.0,81.0,139.0,180.0,116.0,56.0,981.0,0.0,0.0,6.0,16.0,11.0,62.0,156.0,181.0,111.0,830.0,0.0,0.0,10.0,14.0,23.0,19.0,8.0,0.0,0.0,203.0,21.0,37.0,169.0,159.0,77.0,65.0,99.0,119.0,31.0,1216.0,865.0,2311.0,5602.0,7017.0,5445.0,3775.0,2689.0,1583.0,530.0,29937.0,1301.0,4054.0,8428.0,11253.0,7262.0,3801.0,1971.0,830.0,175.0,39314.0,100.0,302.0,684.0,646.0,1515.0,1457.0,722.0,292.0,36.0,5931.0,114.0,218.0,715.0,837.0,1269.0,1388.0,1075.0,642.0,174.0,6649.0,17.0,28.0,141.0,154.0,249.0,353.0,401.0,271.0,101.0,1990.0,14.0,0.0,39.0,51.0,83.0,154.0,311.0,345.0,158.0,1467.0,0.0,0.0,47.0,56.0,81.0,41.0,31.0,7.0,7.0,472.0,88.0,117.0,435.0,400.0,260.0,186.0,224.0,216.0,75.0,2438.0,1881.0,4959.0,10711.0,13600.0,10849.0,7487.0,4953.0,2897.0,926.0,58271.0,58271.0
