district,Blnd_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam_pc,Blnd_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam_pc,Intct_fam_no_otr_chld_pre_Fam,Intct_fam_no_otr_chld_pre_Fam_pc,Intct_fam_othr_child_pres_Fam,Intct_fam_othr_child_pres_Fam_pc,Otr_cpl_fam_otr_chld_only_Fam,Otr_cpl_fam_otr_chld_only_Fam_pc,Step_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam_pc,Step_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam_pc,Tot_Families,Tot_Families_pc,Tot_Families_total
Albert Park,18.0,32.0,1.0,1.0,6.0,49.0,1.0,1.0,1.0,1.0,32.0,74.0,1.0,1.0,5.0,1.0,5.0
Ashwood,28.0,25.0,2.0,2.0,77.0,86.0,36.0,28.0,40.0,33.0,14.0,1.0,2.0,2.0,76.0,2.0,76.0
Bass,67.0,76.0,3.0,3.0,20.0,6.0,37.0,41.0,59.0,70.0,66.0,83.0,3.0,3.0,20.0,3.0,20.0
Bayswater,52.0,51.0,4.0,4.0,51.0,40.0,41.0,37.0,41.0,34.0,61.0,51.0,4.0,4.0,52.0,4.0,52.0
Bellarine,42.0,52.0,5.0,5.0,24.0,26.0,30.0,30.0,56.0,63.0,71.0,81.0,5.0,5.0,26.0,5.0,26.0
Benambra,71.0,80.0,6.0,6.0,19.0,4.0,49.0,53.0,64.0,71.0,48.0,65.0,6.0,6.0,21.0,6.0,21.0
Bendigo East,69.0,72.0,7.0,7.0,29.0,7.0,53.0,59.0,29.0,35.0,75.0,79.0,7.0,7.0,35.0,7.0,35.0
Bendigo West,46.0,64.0,8.0,8.0,9.0,20.0,32.0,40.0,81.0,84.0,38.0,71.0,8.0,8.0,9.0,8.0,9.0
Bentleigh,31.0,28.0,9.0,9.0,75.0,71.0,21.0,16.0,42.0,36.0,29.0,13.0,9.0,9.0,73.0,9.0,73.0
Berwick,79.0,55.0,10.0,10.0,84.0,44.0,75.0,73.0,2.0,2.0,87.0,49.0,10.0,10.0,84.0,10.0,84.0
Box Hill,21.0,15.0,11.0,11.0,66.0,77.0,15.0,14.0,3.0,3.0,24.0,15.0,11.0,11.0,65.0,11.0,65.0
Brighton,19.0,21.0,12.0,12.0,40.0,60.0,16.0,15.0,4.0,4.0,22.0,36.0,12.0,12.0,41.0,12.0,41.0
Broadmeadows,22.0,24.0,13.0,13.0,55.0,75.0,68.0,68.0,5.0,5.0,9.0,3.0,13.0,13.0,51.0,13.0,51.0
Brunswick,7.0,10.0,14.0,14.0,7.0,72.0,2.0,2.0,6.0,6.0,3.0,11.0,14.0,14.0,6.0,14.0,6.0
Bulleen,23.0,22.0,15.0,15.0,65.0,74.0,61.0,54.0,7.0,7.0,23.0,19.0,15.0,15.0,61.0,15.0,61.0
Bundoora,29.0,35.0,16.0,16.0,50.0,63.0,55.0,55.0,8.0,8.0,19.0,27.0,16.0,16.0,48.0,16.0,48.0
Carrum,72.0,58.0,17.0,17.0,54.0,21.0,35.0,31.0,65.0,60.0,88.0,80.0,72.0,73.0,59.0,17.0,59.0
Caulfield,8.0,8.0,18.0,18.0,36.0,80.0,3.0,3.0,9.0,9.0,12.0,24.0,17.0,17.0,31.0,18.0,31.0
Clarinda,41.0,40.0,19.0,19.0,58.0,45.0,76.0,77.0,67.0,64.0,39.0,38.0,18.0,18.0,58.0,19.0,58.0
Cranbourne,88.0,78.0,20.0,20.0,80.0,29.0,83.0,81.0,74.0,61.0,84.0,46.0,19.0,19.0,83.0,20.0,83.0
Croydon,55.0,50.0,21.0,21.0,52.0,30.0,56.0,52.0,30.0,30.0,67.0,54.0,20.0,20.0,54.0,21.0,54.0
Dandenong,38.0,37.0,22.0,22.0,64.0,41.0,81.0,80.0,51.0,50.0,45.0,40.0,73.0,74.0,64.0,22.0,64.0
Eildon,57.0,65.0,23.0,23.0,21.0,16.0,20.0,21.0,31.0,37.0,57.0,67.0,74.0,82.0,22.0,23.0,22.0
Eltham,27.0,26.0,24.0,24.0,60.0,51.0,23.0,20.0,32.0,31.0,50.0,42.0,21.0,21.0,60.0,24.0,60.0
Essendon,12.0,12.0,25.0,25.0,42.0,78.0,18.0,17.0,33.0,38.0,15.0,22.0,22.0,22.0,37.0,25.0,37.0
Eureka,83.0,82.0,26.0,26.0,39.0,19.0,63.0,64.0,66.0,67.0,73.0,66.0,75.0,75.0,47.0,26.0,47.0
Euroa,51.0,71.0,27.0,27.0,10.0,3.0,57.0,66.0,87.0,87.0,53.0,85.0,88.0,88.0,10.0,27.0,10.0
Evelyn,75.0,60.0,28.0,28.0,53.0,27.0,69.0,69.0,79.0,74.0,86.0,69.0,23.0,23.0,56.0,28.0,56.0
Footscray,14.0,14.0,29.0,29.0,34.0,70.0,26.0,27.0,43.0,44.0,10.0,21.0,24.0,24.0,28.0,29.0,28.0
